                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.6792,                 1.1626,                 1.0492,                0.76949,                0.66517,                0.72677,                0.35052,                 1.7586,                  1.129,                 1.1102,               0.004852,               0.004852,               0.004852
                     55,                 1.6673,                 1.1529,                 1.0566,                 0.7621,                0.66572,                0.72647,                0.35165,                 1.7586,                 1.1259,                 1.1101,               0.004753,               0.004753,               0.004753
                     56,                 1.6681,                 1.1578,                 1.0551,                0.77988,                0.64992,                0.72635,                0.35126,                   1.76,                  1.125,                  1.111,               0.004654,               0.004654,               0.004654
                     57,                  1.665,                 1.1512,                 1.0495,                 0.7745,                 0.6541,                0.72728,                0.35232,                 1.7607,                  1.123,                 1.1102,               0.004555,               0.004555,               0.004555
                     58,                 1.6547,                 1.1331,                 1.0539,                0.76451,                0.66904,                0.72975,                0.35389,                 1.7606,                 1.1214,                 1.1098,               0.004456,               0.004456,               0.004456
                     59,                 1.6447,                 1.1226,                 1.0452,                0.78693,                0.65985,                 0.7313,                0.35521,                 1.7588,                 1.1175,                 1.1103,               0.004357,               0.004357,               0.004357
                     60,                 1.6355,                 1.1116,                 1.0467,                 0.7784,                0.66314,                 0.7319,                0.35474,                 1.7583,                 1.1178,                   1.11,               0.004258,               0.004258,               0.004258
                     61,                 1.6394,                 1.1097,                 1.0471,                0.77422,                 0.6703,                0.73377,                0.35395,                 1.7574,                  1.114,                 1.1094,               0.004159,               0.004159,               0.004159
                     62,                  1.626,                 1.0958,                 1.0419,                0.77608,                0.67441,                0.73347,                0.35576,                 1.7585,                 1.1121,                 1.1098,                0.00406,                0.00406,                0.00406
                     63,                 1.6236,                 1.1003,                 1.0399,                0.77046,                 0.6749,                0.73227,                0.35459,                 1.7587,                 1.1088,                 1.1102,               0.003961,               0.003961,               0.003961
                     64,                 1.6165,                  1.087,                 1.0383,                0.76831,                0.67789,                0.73056,                0.35399,                 1.7585,                 1.1065,                 1.1098,               0.003862,               0.003862,               0.003862
                     65,                 1.6026,                 1.0714,                 1.0329,                0.77389,                0.66639,                0.72925,                0.35232,                 1.7596,                 1.1045,                 1.1107,               0.003763,               0.003763,               0.003763
                     66,                 1.6077,                 1.0701,                 1.0365,                0.79166,                0.65793,                0.73258,                0.35268,                 1.7597,                 1.1038,                 1.1113,               0.003664,               0.003664,               0.003664
                     67,                  1.601,                 1.0493,                 1.0319,                0.79388,                0.66015,                 0.7346,                0.35428,                 1.7602,                 1.1032,                 1.1117,               0.003565,               0.003565,               0.003565
                     68,                 1.6014,                 1.0556,                 1.0313,                0.80044,                0.65892,                0.73773,                0.35571,                 1.7603,                 1.1014,                 1.1116,               0.003466,               0.003466,               0.003466
                     69,                 1.5875,                 1.0471,                 1.0291,                0.80022,                0.65868,                 0.7366,                0.35518,                 1.7607,                 1.1004,                  1.112,               0.003367,               0.003367,               0.003367
                     70,                 1.5758,                 1.0306,                 1.0297,                0.80169,                0.65726,                0.73494,                0.35454,                 1.7627,                 1.0989,                 1.1128,               0.003268,               0.003268,               0.003268
                     71,                 1.5752,                 1.0297,                 1.0227,                0.80151,                0.65735,                0.73705,                0.35539,                 1.7628,                 1.0974,                 1.1131,               0.003169,               0.003169,               0.003169
                     72,                  1.562,                 1.0221,                 1.0236,                0.80117,                0.65745,                0.73607,                 0.3548,                 1.7628,                 1.0957,                 1.1131,                0.00307,                0.00307,                0.00307
                     73,                 1.5622,                 1.0176,                 1.0225,                0.79944,                0.65763,                0.73554,                0.35577,                 1.7636,                 1.0935,                 1.1137,               0.002971,               0.002971,               0.002971
                     74,                 1.5531,                 1.0084,                 1.0141,                0.79881,                0.65804,                0.73602,                 0.3551,                 1.7629,                  1.093,                 1.1132,               0.002872,               0.002872,               0.002872
                     75,                 1.5445,                0.99802,                 1.0153,                0.80189,                0.65587,                0.73614,                0.35502,                 1.7623,                 1.0919,                 1.1135,               0.002773,               0.002773,               0.002773
                     76,                 1.5325,                0.98939,                 1.0119,                0.80361,                0.65617,                0.73619,                0.35432,                 1.7638,                 1.0898,                  1.114,               0.002674,               0.002674,               0.002674
                     77,                 1.5261,                0.98214,                 1.0095,                0.80364,                0.65558,                 0.7353,                0.35491,                 1.7631,                 1.0889,                 1.1143,               0.002575,               0.002575,               0.002575
                     78,                 1.5257,                0.98221,                 1.0096,                0.80115,                0.65649,                0.73781,                0.35536,                 1.7636,                 1.0871,                 1.1146,               0.002476,               0.002476,               0.002476
                     79,                 1.5194,                0.97504,                 1.0087,                0.79688,                0.65987,                0.73939,                0.35547,                 1.7636,                 1.0849,                 1.1153,               0.002377,               0.002377,               0.002377
                     80,                 1.5175,                0.96729,                 1.0055,                 0.7979,                0.65937,                0.73975,                0.35631,                 1.7635,                 1.0832,                 1.1156,               0.002278,               0.002278,               0.002278
                     81,                 1.5001,                0.95366,                0.99998,                 0.7982,                0.65959,                0.73748,                0.35685,                 1.7636,                 1.0818,                 1.1156,               0.002179,               0.002179,               0.002179
                     82,                 1.4925,                0.94438,                 1.0008,                0.79992,                0.65729,                0.73742,                0.35584,                 1.7643,                 1.0813,                 1.1162,                0.00208,                0.00208,                0.00208
