                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.7249,                 1.2408,                 1.0701,                0.77517,                0.67196,                  0.743,                 0.3639,                 1.7268,                  1.118,                 1.0991,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.7196,                 1.2282,                 1.0727,                0.77742,                 0.6682,                0.73968,                0.36337,                 1.7285,                 1.1143,                    1.1,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.7271,                 1.2318,                 1.0758,                0.76842,                0.67346,                0.73994,                0.36151,                 1.7287,                 1.1125,                 1.0997,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.7191,                 1.2199,                 1.0711,                0.78307,                0.66696,                0.73977,                0.36161,                 1.7283,                 1.1104,                 1.1005,               0.009406,               0.009406,               0.009406
                     63,                 1.7143,                 1.2317,                 1.0685,                0.77822,                0.66907,                0.74187,                0.36148,                   1.73,                 1.1106,                  1.101,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.7101,                 1.2197,                 1.0676,                0.78645,                0.66899,                0.74721,                0.36213,                 1.7292,                 1.1072,                 1.1013,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.7033,                 1.2028,                 1.0661,                0.78575,                0.67223,                0.74694,                0.36133,                  1.729,                 1.1054,                 1.1016,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.7138,                 1.2101,                 1.0712,                0.79302,                0.66796,                0.74771,                0.36133,                 1.7295,                 1.1032,                  1.102,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.7046,                  1.196,                  1.067,                0.77223,                0.67727,                0.74854,                0.36002,                 1.7289,                 1.1024,                 1.1023,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.7039,                 1.1925,                 1.0622,                0.77502,                0.67851,                0.74959,                0.35947,                 1.7287,                 1.1015,                 1.1028,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.7059,                 1.2008,                 1.0668,                0.77813,                0.67753,                0.75081,                0.35953,                 1.7294,                 1.1001,                 1.1035,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.6903,                 1.1846,                 1.0667,                0.79819,                0.67145,                0.74827,                 0.3594,                 1.7298,                 1.0984,                 1.1034,              0.0093268,              0.0093268,              0.0093268
                     71,                  1.699,                 1.1858,                 1.0624,                0.78626,                0.67369,                0.74836,                0.36013,                 1.7306,                 1.0974,                 1.1036,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.6845,                 1.1692,                 1.0616,                0.79637,                0.67108,                0.74722,                0.36026,                 1.7306,                 1.0961,                 1.1036,               0.009307,               0.009307,               0.009307
                     73,                 1.6895,                 1.1772,                 1.0607,                0.80598,                0.67024,                0.74933,                0.36049,                 1.7312,                 1.0947,                 1.1041,              0.0092971,              0.0092971,              0.0092971
                     74,                  1.684,                 1.1696,                 1.0561,                0.80397,                0.66864,                0.75009,                0.36128,                 1.7306,                 1.0922,                  1.104,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.6812,                 1.1655,                 1.0589,                0.80117,                0.66993,                0.75065,                0.36136,                 1.7296,                   1.09,                 1.1042,              0.0092773,              0.0092773,              0.0092773
                     76,                  1.679,                 1.1599,                 1.0578,                0.81029,                0.66777,                0.75148,                0.36173,                 1.7292,                  1.089,                 1.1041,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.6734,                 1.1533,                 1.0561,                0.81116,                0.66685,                0.75171,                0.36159,                 1.7287,                 1.0865,                 1.1043,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.6756,                 1.1474,                 1.0568,                0.81026,                0.66965,                0.75373,                0.36228,                  1.728,                 1.0845,                 1.1044,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.6711,                 1.1526,                 1.0568,                0.81366,                0.66961,                0.75325,                 0.3633,                 1.7288,                 1.0838,                 1.1049,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.6757,                 1.1547,                 1.0536,                0.81141,                 0.6678,                0.75288,                0.36369,                 1.7291,                 1.0828,                 1.1051,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.6605,                 1.1373,                 1.0502,                0.80938,                 0.6729,                0.75395,                0.36356,                 1.7291,                 1.0813,                 1.1054,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.6607,                 1.1363,                 1.0522,                0.80404,                0.68093,                0.75583,                 0.3639,                 1.7294,                 1.0801,                 1.1056,               0.009208,               0.009208,               0.009208
                     83,                 1.6618,                 1.1187,                 1.0494,                0.80346,                0.67821,                0.75553,                0.36512,                 1.7291,                 1.0792,                 1.1057,              0.0091981,              0.0091981,              0.0091981
                     84,                  1.658,                 1.1287,                 1.0486,                0.80168,                0.67867,                0.75608,                0.36545,                 1.7288,                 1.0777,                 1.1059,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.6455,                 1.1186,                 1.0503,                0.80106,                0.67711,                0.75688,                0.36601,                 1.7291,                 1.0762,                 1.1061,              0.0091783,              0.0091783,              0.0091783
